,E,weight
594,15450.0,1.828
595,15550.0,1.808
596,15650.0,1.806
597,15750.0,1.817
598,15850.0,1.858
599,15950.0,1.891
600,16050.0,1.899
601,16149.999999999998,1.899
602,16250.0,1.893
603,16350.000000000002,1.88
604,16450.0,1.869
605,16550.0,1.9180000000000001
606,16650.0,1.97
607,16750.0,1.952
608,16850.0,1.929
609,16950.0,1.935
610,17050.0,1.94
611,17150.0,1.9369999999999998
612,17250.0,1.9340000000000002
613,17350.0,1.935
614,17450.0,1.932
615,17550.0,1.9169999999999998
616,17650.0,1.906
617,17750.0,1.9140000000000001
618,17850.0,1.926
619,17950.0,1.9509999999999998
620,18050.0,1.974
621,18150.0,1.965
622,18250.0,1.95
623,18350.0,1.9380000000000002
624,18450.0,1.926
625,18550.0,1.945
626,18650.0,1.986
627,18750.0,2.008
628,18850.0,1.999
629,18950.0,1.989
630,19050.0,1.974
631,19150.0,1.96
632,19250.0,1.955
633,19350.0,1.953
634,19450.0,1.953
635,19550.0,1.955
636,19650.0,1.9580000000000002
637,19750.0,1.963
638,19850.0,1.969
639,19950.0,1.975
640,20000.0,2.0709999999999997
641,25000.0,2.049
642,30000.0,2.041
643,40000.0,2.012
644,50000.0,1.805
645,60000.0,1.6440000000000001
646,70000.0,1.499
647,80000.0,1.3780000000000001
648,90000.0,1.264
649,100000.0,1.168
650,130000.0,0.9740000000000001
651,160000.0,0.865
652,200000.0,0.7909999999999999
653,250000.0,0.733
654,300000.0,0.696
655,350000.0,0.693
656,400000.0,0.685
657,450000.0,0.685
658,500000.0,0.6809999999999999
659,600000.0,0.679
660,700000.0,0.677
661,800000.0,0.672
662,805000.0,0.6004
663,815000.0,0.598
664,825000.0,0.5959
665,835000.0,0.5942
666,845000.0,0.5932
667,855000.0,0.5922
668,865000.0,0.5912
669,875000.0,0.5902
670,885000.0,0.5892
671,895000.0,0.5883
672,905000.0,0.5873
673,915000.0,0.5863
674,925000.0,0.5854
675,935000.0,0.5845
676,945000.0,0.5836
677,955000.0,0.5828
678,965000.0,0.5819
679,975000.0,0.581
680,985000.0,0.5801
681,995000.0,0.5793
682,1005000.0,0.5784
683,1015000.0,0.5773
684,1025000.0,0.5763
685,1035000.0,0.5752
686,1045000.0,0.5741
687,1055000.0,0.5734
688,1065000.0,0.5728
689,1075000.0,0.5722
690,1085000.0,0.5716
691,1095000.0,0.5711
692,1105000.0,0.5708
693,1115000.0,0.5704
694,1125000.0,0.5701
695,1135000.0,0.5698
696,1145000.0,0.5694
697,1155000.0,0.5691
698,1165000.0,0.5688
699,1175000.0,0.5684
700,1185000.0,0.5681
701,1195000.0,0.5678
702,1205000.0,0.5674
703,1215000.0,0.5671
704,1225000.0,0.5668
705,1235000.0,0.5664
706,1245000.0,0.5661
707,1255000.0,0.5658
708,1265000.0,0.5655
709,1275000.0,0.565
710,1285000.0,0.5643
711,1295000.0,0.5636
712,1305000.0,0.5628
713,1315000.0,0.5621
714,1325000.0,0.5614
